,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,44893.65031385623,1,2,2,40,0,0,0,0,0,0,42190.1811866158,37680.799268251605,39523.708444584896,39360.39943899599,41649.50080650638,45785.83597402719,676.3828437425248,2449.1997105120017,2449.919029569612,680.2237940758383,1615.2268973200662,2121.8930441339967,0
1,18424.519098240537,1,2,2,21,0,0,2,2,2,0,16083.480872623006,20160.00723667627,19786.100517037423,26782.29534746873,19924.71962457017,21855.94097314614,3242.1995599074635,-41.87681027215387,2750.67618625108,527.3990832402596,1308.5913772515448,514.3570900145295,0
2,117876.94276619052,1,3,2,50,0,0,0,2,0,0,120256.5320602708,114997.365651589,122401.3586355788,116157.18963758218,119962.73580693216,120028.6675381871,5274.265065356456,9610.239801092675,1575.956875845399,4876.07165179446,5475.820671079111,5109.827970341463,0
3,54723.3779348262,2,2,2,30,0,0,0,0,0,0,59448.03868495902,61856.139171927534,59489.0735156092,38065.93017485108,41540.05862956182,41878.68588352245,3270.158117474973,4596.39624452435,1604.8476879111386,1427.4256280326858,1673.040069820199,3355.8727748192105,0
4,76558.09425926466,2,3,1,54,0,0,0,0,0,0,49880.34024917967,45724.46911872552,44895.53278616525,45179.78845862136,44981.27740986454,45357.868242033306,4672.139377599883,4242.405415931863,5329.088732139849,4598.029179060879,6111.203015836514,4883.652725321115,0
5,30720.580034051087,1,2,2,22,0,0,0,0,0,0,29397.622741207702,27958.29826255116,30273.339242702605,30514.989011483165,32473.9073081402,-887.3907177018706,2830.0789347256086,1573.2178553914423,350.890623195437,1092.8824550339702,393.58185188335005,-387.3234673892167,0
6,54775.19644829887,2,2,2,27,0,0,0,0,0,0,48037.41495985937,46616.65680640193,50925.85451911115,18623.618522850524,22886.17806078356,3997.676132358,3490.629159007357,-1103.7734910149538,423.234270902487,418.1717317904244,142.87140345976965,-153.30068955364908,0
7,15578.775877352917,1,2,2,37,0,0,2,0,0,0,2641.1869727782973,5414.6468739182,8810.818186624983,8414.481241384296,10820.30350728266,4903.332490327836,1766.5676838479426,1398.7890631054174,130.17170118201665,555.161172982117,1019.9196549856324,1093.9242917589045,0
8,111879.71494559248,2,2,2,26,0,0,0,0,0,0,51114.34529967419,46172.728194474286,49200.43627879221,47663.54654045742,47290.42717789683,51215.70495209729,1811.8731883027551,3130.4765576193995,2491.2990518077927,2003.3065427245324,2163.289495696364,1830.4538953967888,0
9,116822.18664918796,1,3,1,27,0,0,0,0,0,-2,106374.08432198816,111260.29078095774,36438.47297834074,10833.650831188106,5814.820060056938,75917.33189388736,2585.131481667899,-76.94723495897756,1711.5723749878723,2893.4233634039574,82862.7158950987,3147.546792706246,0
10,73936.65321083242,1,1,2,23,-1,0,-1,2,-1,0,1033.9816962140571,2314.276470765644,-4318.40781005358,199.06067443250032,6311.807349861992,11550.048547184144,1228.9484426498168,-81.73877361394239,-133.9431239182412,3450.2386072764966,9728.526140165694,4993.729679696084,0
11,42819.26512364024,2,2,2,22,0,0,0,0,0,0,25211.089741550648,27145.648205965903,21639.366454819174,21812.68845514628,25735.590630670755,18808.89764076488,5937.334273167736,909.4691085474234,1420.3903141020555,1504.2459799834323,2307.676662309083,825.5186933688733,0
12,107722.11811769016,2,2,1,41,0,0,0,2,2,0,6595.951545556329,7360.666807078265,4844.325782012826,8131.422689635801,6142.017082235085,7385.819115221888,1004.7694830774536,811.5020880789671,-810.7233732237594,887.1348730269486,-595.9485057616348,-318.82769924031845,0
13,47311.94528927836,1,2,2,26,0,0,2,0,0,0,764.7109385722333,13859.298724706954,7085.24575310542,7963.099868260399,4871.098051481788,12955.937480154069,1659.6975509048336,3377.336095143484,977.8385752166798,-24.719944307976107,318.61134210925627,130.43223508062465,1
14,27732.9295613082,2,1,2,29,0,0,0,0,2,0,16610.05257541784,15011.608992473006,6666.9645871825405,11631.063567354277,13260.856045120025,16823.19986924487,2235.330335679931,-145.6128252837052,2600.6958930882342,-663.6053941853241,1546.0756600641914,1505.1365819602795,0
15,117358.90084834937,2,2,2,32,0,0,0,0,0,0,107624.45107852138,101067.03755510547,88353.72706310273,81450.62941845902,77093.45444763132,82557.9132604926,3503.2349215689774,3366.856490126855,3204.308460302368,4237.62298253786,3111.7399882804893,1959.8401430546332,0
16,92286.94243161274,1,2,1,52,-1,0,0,0,0,0,25317.648893285717,22369.791150460034,28048.57695807833,32939.76454729165,23409.068951666537,26355.83307025694,3430.236039128207,3176.339906353479,2062.1469066341983,1776.8065163841147,1226.7662705097384,1135.3460892101891,1
17,13558.029751555949,2,2,2,24,0,0,0,0,0,0,10689.946063572594,9125.507685006562,12239.39963829807,6808.067994997363,9186.56727017971,8666.55279443333,1653.1565444409923,35.83000115321204,250.24137915793224,1622.6914769423252,2248.403702221612,1212.882267398159,0
18,17546.148954239,2,3,1,54,0,0,2,0,0,3,10468.94951555312,14667.02313319224,13208.155531553106,13924.337515944302,13231.433245003976,16348.859203915012,2782.6119375814023,2705.4925893536765,1896.070534890168,2449.1084968144914,95.05457943344976,248.2619565782216,0
19,30751.56776666865,2,3,1,41,0,0,0,0,0,0,26095.61088689846,11934.611901909,14401.939879695885,13355.703938886165,18810.981827730637,13406.70111810155,2635.802392476441,933.674481493258,615.6878539934236,933.0343960385312,228.93603088546016,2053.0610689642567,0
20,49367.65391203686,1,2,1,45,-1,-1,-1,-1,-2,-1,8883.137827388948,-550.148180434323,2588.419706045137,-1746.0038375278891,-459.18774793669286,2012.3624615985848,-154.67056421451912,2703.435650983131,-440.7256238717092,-695.0491423124059,768.8027404194245,4812.810359313384,0
21,31631.33369651699,2,2,2,20,0,0,2,0,0,0,31856.134721701823,28758.665372292235,27393.293713408053,33957.771299401094,26422.418579619905,22295.250494998287,3001.352071131858,-1111.750024145004,278.4464716803561,837.1102277840391,-508.0694395180774,313.57677886788014,0
22,102619.22991476026,1,1,2,33,0,0,0,0,2,0,100172.29591617404,157928.40685614536,58996.73043152956,10211.641463291477,9953.149993852649,7559.290491693373,3222.50026964066,2231.0096190533413,561.4273873500001,-329.0036864506827,754.8014515162951,1478.8897804264857,0
23,129221.9412209372,2,2,2,41,-1,-1,-1,-1,0,-1,703.185395904964,3517.089605551675,15946.36847303477,5586.022603282476,-625.6246483006616,7074.944419073794,2638.011680699341,13286.014988438494,5670.071298113865,530.0856628054015,4984.393882266355,4161.04359320145,0
24,50141.48605324431,2,2,2,26,0,0,0,0,0,-2,25951.049331089747,26881.001645159107,27216.000001155702,33756.680663389256,-1539.4623786750942,951.0791496656068,1141.4554796712705,3549.7189245103987,2848.682585070568,-346.33309952103144,-199.8339894617718,-795.2549003437322,0
25,60507.85419908095,2,3,2,44,0,0,0,0,0,0,53601.01596577548,45258.84723637976,40542.68315948245,41015.72106403509,36912.07714057207,33362.08904153135,2803.828295014605,1535.0088183376847,808.4976081184531,1107.3533999198503,1862.7894233092377,2434.099957692464,0
26,131250.7872888044,2,2,1,34,0,0,0,0,0,0,27372.07572847484,30952.09573735374,29361.048678158924,26603.007575576605,31670.4200348716,2022.1528471961665,1236.277925211101,683.5676762577291,824.5507492081173,1129.493109488377,501.103991373729,4510.397330518171,0
27,49952.059895694896,1,1,2,23,0,0,2,0,0,0,30609.96282496541,41264.103158441474,37929.02151398632,26849.785134354966,29148.043495205904,25210.53281644352,6666.314852757272,870.9661825098318,2413.650152291839,1809.322708740301,2604.608538414392,3670.515650458676,0
28,52004.0474562423,1,2,1,25,0,0,0,0,0,0,52694.00817877542,55212.3174097841,47340.84509854894,45439.544747798514,49802.54830631454,50031.048300113485,1632.0143579050475,1934.5957343588973,1634.940539111173,1006.741685939056,2645.8930732212766,1898.8928254694847,1
29,44425.59567570259,2,1,2,50,0,0,0,-2,-1,-1,-99.7923483041991,5187.498472664847,-2438.3643264918387,1933.186888750561,3691.592016698004,2348.262887937587,194.39815152080007,14.106193538715006,198.66544337347077,430.2505647769773,15.887519870168166,555.6332837426314,0
30,22656.91206593752,1,2,2,23,0,-1,-1,-1,-1,-1,2641.955875487692,-2876.1808713301966,-5453.515872539921,-2100.0156102992755,-812.6710648694989,-1985.9323530526224,1702.0169383772338,154.04831979388229,399.7626621232678,539.6173177175392,467.7329792167085,945.9126405881124,0
31,81541.44582417235,2,1,2,23,-1,-1,-1,-1,0,-1,1731.3740968042391,5417.319813545383,2042.6875821215656,6329.852411090269,5591.839212856363,3739.41798526088,5045.3269907373815,1102.3355214281291,8826.426224767678,-196.32956904345912,2592.903682501513,820.3184344859648,0
32,22285.83979045564,2,2,1,45,0,0,0,0,0,3,14555.10502910802,23322.231153568773,16127.928263090653,22326.93801774847,21181.92457334422,20189.09308371388,2131.865772377122,2320.4616899275634,2161.273744641781,2228.0978996480385,-175.02270148626303,-1490.4352240444516,1
33,48166.69869690152,2,3,2,21,0,0,0,0,0,0,37835.27556396883,28761.07460411895,36414.73889465103,24149.06802747603,24085.192622386818,16201.864887267464,7015.185828391919,4778.992806777767,3752.193511185611,4509.911942140395,5004.942559770737,4581.666771999201,0
34,49594.52019063715,2,1,2,25,0,0,0,0,0,0,35753.64843842489,30003.1323753951,11931.150143659725,6067.952239546927,9775.924264756695,9436.741526965025,1169.7751654569684,1255.6520828986452,1132.3444362332275,2044.164909479356,-565.2537047194717,-622.466420878254,0
35,21686.82472344359,1,2,1,46,0,0,0,0,0,0,14209.148160968767,13525.598546563377,19534.70631643462,15668.167816087722,17197.577458446707,21927.38609344848,1642.2722902431165,135.3351397776171,543.8395177764606,1012.2247684497725,1050.8219123727768,-931.9296415087476,0
36,46334.29185332036,2,2,2,28,0,0,-1,0,0,-1,45191.8060500431,19609.80851301056,-1255.8762277731375,20770.671040882506,10661.097709955078,28737.15966172688,972.3935822845544,1553.7404009894244,21464.725654935817,4764.266436002385,29101.09001329567,8387.856873882194,0
